bool apache_child_terminate ();このリクエストの後にApacheプロセスを終了する
void pdf_open_pdi ( int pdf object , string filename , string stringparam , int intparam );PDFファイルをオープンする
int pdf_open_tiff ( int PDF-document , string filename );古い関数: TIFFイメージをオープンする
int pdf_open ( int file );古い関数: 新規の pdfオブジェクトをオープンする
void pdf_place_image ( int pdf object , int image , float x , float y , float scale );イメージをページ上に置く
void pdf_place_pdi_page ( int pdf object , int page , float x , float y , float sx , float sy );ページにイメージを置く
void pdf_rect ( int pdf object , float x , float y , float width , float height );長方形を描く
void pdf_restore ( int pdf object );以前保存された環境を復元する
void pdf_rotate ( int pdf object , float phi );回転を設定する
void pdf_save ( int pdf object );現在の環境を保存する
void pdf_scale ( int pdf object , float x-scale , float y-scale );スケールを設定する
void pdf_set_border_color ( int pdf object , float red , float green , float blue );リンクや注記の周りの境界色を設定する
void pdf_set_border_dash ( int pdf object , float black , float white );リンクおよび注記の周りの境界の破線形式を設定する
void pdf_set_border_style ( int pdf object , string style , float width );リンクおよび注記の周りの境界の形式を設定する
void pdf_set_horiz_scaling ( int pdf object , float scale );古い関数: テキストの横方向倍率を設定
bool pdf_set_info_author ( int pdfdoc , string author );ドキュメントのauthorフィールドを設定する
bool pdf_set_info_creator ( int pdfdoc , string creator );ドキュメントのcreatorフィールドを設定する
bool pdf_set_info_keywords ( int pdfdoc , string keywords );ドキュメントのkeywordフィールドを設定する
bool pdf_set_info_subject ( int pdfdoc , string subject );ドキュメントのsubjectフィールドを設定する
bool pdf_set_info_title ( int pdfdoc , string title );ドキュメントのtitleフィールドを設定する
void pdf_set_info ( int pdf object , string key , string value );ドキュメント情報のフィールドを設定する
void pdf_set_parameter ( int pdf object , string key , string value );パラメータを設定する
void pdf_set_text_pos ( int pdf object , float x , float y );テキストの位置を設定する
void pdf_set_value ( int pdf object , string key , float value );数値を設定する
void pdf_setcolor ( int pdf object , string type , string colorspace , float c1 , [ float c2 ] , [ float c3 ] , [ float c4 ] );塗りつぶし色および輪郭色を設定する
void pdf_setdash ( int pdf object , float b , float w );破線パターンを設定する
void pdf_setflat ( int pdf object , float flatness );平面度を設定する
void pdf_setfont ( int pdf object , int font , float size );カレントのフォントを設定する
void pdf_setgray_fill ( int pdf object , float gray );塗りつぶし色をグレー値に設定する
void pdf_setgray_stroke ( int pdf object , float gray );描画色をグレー値に設定する
void pdf_setgray ( int pdf object , float gray );描画および塗りつぶし色をグレー値に設定する
void pdf_setlinecap ( int pdf object , int linecap );linecap パラメータを設定する
void pdf_setlinejoin ( int pdf object , long linejoin );linejoinパラメータを設定する
void pdf_setlinewidth ( int pdf object , float width );線幅を設定する
void pdf_setmatrix ( int pdf object , float a , float b , float c , float d , float e , float f );カレントの変換行列を設定する
void pdf_setmiterlimit ( int pdf object , float miter );miter limitを設定する
void pdf_setpolydash ( int pdf object , float * dasharray );複雑な破線パターンを設定
void pdf_setrgbcolor_fill ( int pdf object , float red value , float green value , float blue value );塗りつぶし色をRGBカラー値に設定する
void pdf_setrgbcolor_stroke ( int pdf object , float red value , float green value , float blue value );描画色をRGBカラー値に設定する
void pdf_setrgbcolor ( int pdf object , float red value , float green value , float blue value );描画色および塗りつぶし色をRGBカラー値で設定する
int pdf_show_boxed ( int pdf object , string text , float left , float top , float width , float height , string hmode , [ string feature ] );ボックスにテキストを出力する
void pdf_show_xy ( int pdf object , string text , float x , float y );指定した位置にテキストを出力する
void pdf_show ( int pdf object , string text );カレントの位置にテキストを出力する
void pdf_skew ( int pdf object , float alpha , float beta );座標系を歪ませる
float pdf_stringwidth ( int pdf object , string text , [ int font ] , [ float size ] );カレントフォントを用いた際のテキスト幅を返す
void pdf_stroke ( int pdf object );パスに沿って線を描く
void pdf_translate ( int pdf object , float tx , float ty );座標系の原点を設定する
bool PDO::beginTransaction ();トランザクションを開始する
bool PDO::commit ();トランザクションをコミットする
PDO PDO::__construct ( string dsn , [ string username ] , [ string password ] , [ array driver_options ] );データベースへの接続を表すPDOインスタンスを生成する
int PDO::errorCode ();データベースハンドラにおける直近の操作に関連する SQLSTATE を取得する
array PDO::errorInfo ();データベースハンドラにおける直近の操作に関連する拡張エラー情報を取得する
long PDO::exec ( string statement );SQL 文を実行し、作用した行数を返す
mixed PDO::getAttribute ( long attribute );データベース接続の属性を取得する
string PDO::lastInsertId ( [ string name ] );最後に挿入された行の ID を返す
PDOStatement PDO::prepare ( string statement , [ array driver_options ] );文を実行する準備を行い、文オブジェクトを返す
object PDO::query ( string statement );SQLステートメントを実行、結果セットをPDOStatementオブジェクトとして返す
